

     REGION 1A GIRLS' CROSS COUNTRY CHAMPIONSHIP

          OCTOBER 23, 1986

          3200 METERS

          NORTHERN HILLS GOLF COURSE     ROCHESTER, MINNESOTA



PLACE  NAME                     SCORE

   1  Lake City                    69
   2  Elgin-Millville              75
   3  Plainview                   120
   4  Rochester Lourdes           123
   5  Winona Cotter               124
   6  Dover-Eyota/St. Charles     146
   7  Waseca                      154
   8  Pine Island                 204
   9  Lewiston                    249
  10  La Crescent                 257
  11  Byron                       284
  12  Zumbrota/Kenyon             302
  13  Stewartville                333
  14  Kasson-Mantorville          420
  15  Austin Pacelli                *
  16  Caledonia                     *

