

     REGION 1A BOYS' CROSS COUNTRY CHAMPIONSHIP

          OCTOBER 23, 1986

          5000 METERS

          NORTHERN HILLS GOLF COURSE     ROCHESTER, MINNESOTA



PLACE  NAME                     SCORE

   1  Elgin-Millville              26
   2  Rochester Lourdes            71
   3  Winona Cotter               111
   4  Plainview                   153
   5  Waseca                      163
   6  Lake City                   182
   7  Stewartville                204
   8  Zumbrota/Kenyon             207
   9  Lewiston                    218
  10  La Crescent                 241
  11  Byron                       310
  12  Austin Pacelli              331
  13  Caledonia/Spring Grove      353
  14  Pine Island                 365
  15  Kasson-Mantorville          420
  16  St. Charles                 435

