

     REGION 1A GIRLS' CROSS COUNTRY CHAMPIONSHIP

          OCTOBER 24, 1985

          3200 METERS

          NORTHERN HILLS GOLF COURSE     ROCHESTER, MINNESOTA



PLACE  NAME                     SCORE

   1  Lake City                    49
   2  Winona Cotter                53
   3  Elgin-Millville              72
   4  Plainview                    92
   5  Pine Island                 168
   6  Waseca                      175
   7  Rochester Lourdes           188
   8  St. Charles                 227
   9  Byron                       248
  10  La Crescent                 291
  11  Zumbrota-Kenyon             304
  12  Stewartville                304
  13  Lewiston                    334
  14  Kasson-Mantorville          414
  15  Austin Pacelli                *
  16  Caledonia                     *

