

     REGION 1A BOYS' CROSS COUNTRY CHAMPIONSHIP

          OCTOBER 29, 1987

          5000 METERS

          NORTHERN HILLS GOLF COURSE     ROCHESTER, MINNESOTA



PLACE  NAME                     SCORE

   1  Elgin-Millville              25
   2  Winona Cotter               109
   3  Lake City                   110
   4  Plainview                   138
   5  Rochester Lourdes           162
   6  Zumbrota-Mazeppa/Kenyon     171
   7  Waseca                      186
   8  Lewiston/Altura             219
   9  La Crescent                 220
  10  Stewartville                275
  11  Pine Island                 292
  12  Byron                       296
  13  Austin Pacelli              301
  14  Dover-Eyota/St. Charles     339
  15  Ellendale-Geneva            444
  16  Kasson-Mantorville          483
  17  Caledonia-Spring Grove        *

